Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HR,AR
SE1,22/05/2013,Gefle,IFK Göteborg,1,1,D,0,1,A,9,7,5,4,0,0
SE1,22/05/2013,AIK,Djurgården,1,1,D,1,0,H,18,10,10,4,0,0
SE1,23/05/2013,Syrianska,Häcken,0,3,A,0,0,D,13,9,4,5,0,0
SE1,23/05/2013,Elfsborg,Brommapojkarna,6,0,H,3,0,H,8,7,4,4,0,0
SE1,23/05/2013,Åtvidaberg,Mjällby,3,0,H,2,0,H,8,10,5,4,0,0
SE1,23/05/2013,Halmstad,Norrköping,1,1,D,0,0,D,19,14,6,5,0,0
SE1,23/05/2013,Kalmar,Öster,3,1,H,2,0,H,10,5,6,3,0,0
SE1,29/05/2013,Malmö FF,Helsingborg,1,1,D,1,0,H,11,7,6,6,0,0
SE1,30/05/2013,Djurgården,Kalmar,1,0,H,1,0,H,15,10,7,6,0,0
SE1,30/05/2013,Norrköping,AIK,0,1,A,0,1,A,12,17,7,6,0,0
SE1,31/05/2013,Öster,IFK Göteborg,2,0,H,0,0,D,8,12,4,7,0,0
SE1,01/06/2013,Brommapojkarna,Malmö FF,1,3,A,0,1,A,4,12,0,5,0,0
SE1,01/06/2013,Mjällby,Halmstad,5,1,H,1,1,D,5,18,2,8,0,1
SE1,01/06/2013,Häcken,Elfsborg,0,1,A,0,1,A,12,8,8,2,0,0
SE1,01/06/2013,Helsingborg,Åtvidaberg,3,0,H,2,0,H,16,4,10,3,0,0
SE1,15/06/2013,Gefle,Öster,0,0,D,0,0,D,4,6,3,3,0,0
SE1,17/06/2013,Kalmar,Norrköping,2,2,D,1,0,H,14,14,6,4,0,1
SE1,17/06/2013,IFK Göteborg,Djurgården,0,0,D,0,0,D,15,15,6,7,0,0
SE1,19/06/2013,Häcken,Åtvidaberg,0,2,A,0,0,D,14,6,6,3,1,0
