Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HR,AR
SE1,12/04/2021,AIK,Degerfors,2,0,H,1,0,H,19,9,8,4,0,0
SE1,11/04/2021,Halmstad,Häcken,1,0,H,0,0,D,14,8,5,2,0,0
SE1,11/04/2021,Elfsborg,Djurgården,0,2,A,0,1,A,9,6,5,4,0,0
SE1,11/04/2021,Norrköping,Sirius,1,1,D,1,0,H,14,8,6,5,0,0
SE1,12/04/2021,Kalmar,Östersunds FK,0,0,D,0,0,D,12,6,4,0,0,0
SE1,10/04/2021,Malmö FF,Hammarby,3,2,H,2,2,D,19,6,4,4,0,0
SE1,11/04/2021,Mjällby,Varberg,0,0,D,0,0,D,13,8,2,3,0,0
SE1,10/04/2021,Örebro,IFK Göteborg,0,0,D,0,0,D,12,12,3,3,0,0
SE1,18/04/2021,Häcken,Malmö FF,1,2,A,0,2,A,13,14,6,8,0,0
SE1,18/04/2021,Degerfors,Kalmar,0,1,A,0,1,A,3,17,0,6,0,0
SE1,18/04/2021,Djurgården,Norrköping,1,0,H,0,0,D,21,9,3,0,0,0
SE1,17/04/2021,Hammarby,Mjällby,2,0,H,1,0,H,13,17,3,6,0,0
SE1,19/04/2021,IFK Göteborg,AIK,2,0,H,2,0,H,13,15,6,5,0,0
SE1,18/04/2021,Sirius,Halmstad,1,0,H,0,0,D,11,8,4,4,0,0
SE1,19/04/2021,Varberg,Elfsborg,1,3,A,0,2,A,20,16,5,5,0,0
SE1,18/04/2021,Östersunds FK,Örebro,5,0,H,3,0,H,7,10,6,3,0,0
SE1,25/04/2021,AIK,Hammarby,2,0,H,1,0,H,12,8,4,2,0,0
SE1,24/04/2021,Häcken,Sirius,1,2,A,0,1,A,26,16,9,6,0,0
SE1,26/04/2021,Elfsborg,Mjällby,1,0,H,1,0,H,17,12,9,5,0,0
SE1,26/04/2021,IFK Göteborg,Degerfors,2,3,A,0,2,A,17,14,6,9,0,0
SE1,25/04/2021,Norrköping,Halmstad,2,1,H,0,1,A,19,8,9,2,0,0
SE1,25/04/2021,Kalmar,Örebro,1,0,H,0,0,D,13,8,4,4,0,0
SE1,25/04/2021,Malmö FF,Östersunds FK,1,1,D,0,0,D,23,4,9,2,0,1
SE1,25/04/2021,Varberg,Djurgården,1,3,A,1,2,A,12,10,5,6,0,0
SE1,02/05/2021,AIK,Elfsborg,1,0,H,0,0,D,12,18,6,3,0,0
SE1,03/05/2021,Djurgården,Malmö FF,3,1,H,1,0,H,17,7,5,3,0,0
SE1,02/05/2021,Halmstad,IFK Göteborg,1,1,D,1,0,H,13,6,6,2,0,0
SE1,01/05/2021,Hammarby,Häcken,1,1,D,0,1,A,9,6,5,3,0,0
SE1,01/05/2021,Sirius,Kalmar,1,1,D,0,0,D,5,13,5,6,0,0
SE1,03/05/2021,Mjällby,Degerfors,1,0,H,0,0,D,15,7,2,2,0,0
SE1,02/05/2021,Örebro,Norrköping,0,3,A,0,1,A,11,26,4,14,0,0
SE1,02/05/2021,Östersunds FK,Varberg,1,2,A,1,1,D,9,19,3,8,0,0
SE1,09/05/2021,Degerfors,Djurgården,2,0,H,0,0,D,8,19,4,6,0,0
SE1,08/05/2021,Hammarby,Sirius,3,2,H,1,0,H,18,11,9,4,0,0
SE1,08/05/2021,Elfsborg,Kalmar,2,2,D,1,0,H,11,14,4,8,0,0
SE1,08/05/2021,IFK Göteborg,Häcken,1,1,D,0,0,D,19,12,9,3,0,0
SE1,10/05/2021,Norrköping,AIK,2,0,H,0,0,D,12,19,5,6,0,0
SE1,09/05/2021,Malmö FF,Varberg,3,2,H,1,1,D,11,9,5,3,0,0
SE1,09/05/2021,Mjällby,Östersunds FK,1,0,H,1,0,H,11,13,4,6,0,0
SE1,08/05/2021,Örebro,Halmstad,1,0,H,0,0,D,8,15,5,3,0,0
SE1,13/05/2021,AIK,Malmö FF,1,1,D,0,1,A,13,9,5,6,0,0
SE1,12/05/2021,Häcken,Örebro,2,3,A,2,0,H,22,10,7,7,0,0
SE1,12/05/2021,Djurgården,Östersunds FK,2,0,H,1,0,H,23,5,8,0,0,0
SE1,13/05/2021,Halmstad,Mjällby,1,1,D,1,0,H,12,26,2,7,0,0
SE1,13/05/2021,Norrköping,Degerfors,1,1,D,1,0,H,20,11,6,4,0,0
SE1,12/05/2021,Sirius,Elfsborg,0,2,A,0,1,A,14,19,5,9,0,0
SE1,12/05/2021,Kalmar,IFK Göteborg,0,0,D,0,0,D,7,5,2,2,0,0
SE1,12/05/2021,Varberg,Hammarby,1,3,A,1,0,H,20,14,8,5,0,0
SE1,18/05/2021,Degerfors,Örebro,3,0,H,2,0,H,18,18,8,5,0,0
SE1,16/05/2021,Hammarby,Djurgården,2,2,D,0,1,A,10,17,5,5,0,0
SE1,17/05/2021,Elfsborg,Halmstad,2,3,A,2,1,H,8,12,3,7,0,0
SE1,17/05/2021,IFK Göteborg,Sirius,2,2,D,1,1,D,13,14,5,9,0,0
SE1,17/05/2021,Malmö FF,Kalmar,3,1,H,2,0,H,17,9,8,5,0,0
SE1,17/05/2021,Mjällby,Häcken,1,1,D,0,0,D,17,16,5,9,0,0
SE1,17/05/2021,Varberg,Norrköping,2,1,H,2,0,H,15,10,4,4,0,0
SE1,17/05/2021,Östersunds FK,AIK,1,2,A,0,2,A,7,8,3,4,0,0
SE1,22/05/2021,AIK,Mjällby,2,2,D,1,0,H,18,6,5,4,0,0
SE1,23/05/2021,Häcken,Varberg,3,1,H,3,0,H,27,7,11,2,0,1
SE1,23/05/2021,Djurgården,IFK Göteborg,0,0,D,0,0,D,15,10,3,3,0,0
SE1,23/05/2021,Halmstad,Degerfors,0,0,D,0,0,D,16,6,3,0,0,0
SE1,24/05/2021,Elfsborg,Norrköping,1,0,H,1,0,H,11,8,3,4,0,0
SE1,23/05/2021,Kalmar,Hammarby,2,1,H,1,1,D,22,11,9,5,0,0
SE1,24/05/2021,Örebro,Malmö FF,1,2,A,0,1,A,11,18,3,6,0,0
SE1,22/05/2021,Östersunds FK,Sirius,3,0,H,1,0,H,9,13,7,3,0,0
SE1,04/07/2021,Häcken,AIK,2,1,H,0,0,D,11,13,6,3,0,0
SE1,03/07/2021,Degerfors,Östersunds FK,3,1,H,0,1,A,18,20,6,7,0,0
SE1,05/07/2021,Djurgården,Örebro,3,0,H,1,0,H,24,9,9,3,0,0
SE1,04/07/2021,Hammarby,Halmstad,1,1,D,0,0,D,10,8,4,4,0,0
SE1,05/07/2021,IFK Göteborg,Elfsborg,0,1,A,0,0,D,12,13,4,2,0,0
SE1,03/07/2021,Norrköping,Malmö FF,3,2,H,2,2,D,11,24,6,7,0,0
SE1,04/07/2021,Sirius,Mjällby,2,1,H,1,1,D,16,14,6,9,0,0
SE1,04/07/2021,Varberg,Kalmar,1,1,D,0,0,D,16,9,5,4,0,0
SE1,10/07/2021,AIK,Varberg,2,1,H,1,1,D,26,7,9,2,0,0
SE1,12/07/2021,Halmstad,Djurgården,0,0,D,0,0,D,10,11,3,0,0,0
SE1,11/07/2021,Hammarby,Degerfors,5,1,H,1,1,D,29,17,11,6,0,0
SE1,11/07/2021,Elfsborg,Örebro,2,1,H,0,0,D,19,6,6,2,0,0
SE1,12/07/2021,Kalmar,Häcken,2,3,A,1,1,D,14,6,4,4,0,0
SE1,10/07/2021,Malmö FF,Sirius,4,0,H,2,0,H,17,9,9,3,0,0
SE1,11/07/2021,Mjällby,Norrköping,0,1,A,0,1,A,12,16,0,7,0,0
SE1,11/07/2021,Östersunds FK,IFK Göteborg,2,3,A,0,2,A,12,17,5,8,0,0
SE1,18/07/2021,AIK,Kalmar,2,0,H,0,0,D,12,10,6,3,0,0
SE1,17/07/2021,Degerfors,Malmö FF,0,5,A,0,2,A,8,29,3,11,0,0
SE1,19/07/2021,Djurgården,Sirius,5,1,H,4,0,H,24,8,9,3,0,0
SE1,19/07/2021,Halmstad,Varberg,1,1,D,0,0,D,7,9,3,4,1,1
SE1,17/07/2021,Elfsborg,Östersunds FK,3,0,H,1,0,H,23,5,10,0,0,0
SE1,18/07/2021,IFK Göteborg,Mjällby,3,2,H,1,1,D,12,12,5,6,0,0
SE1,18/07/2021,Norrköping,Häcken,0,1,A,0,0,D,14,11,3,3,0,1
SE1,18/07/2021,Örebro,Hammarby,0,2,A,0,1,A,9,12,2,5,0,0
SE1,25/07/2021,Häcken,Elfsborg,1,1,D,1,1,D,10,9,4,2,0,0
SE1,25/07/2021,Hammarby,Norrköping,2,1,H,1,1,D,24,22,7,9,0,0
SE1,24/07/2021,Sirius,Degerfors,2,0,H,2,0,H,14,15,5,6,0,0
SE1,25/07/2021,Kalmar,Djurgården,0,1,A,0,0,D,4,13,2,5,0,0
SE1,24/07/2021,Mjällby,Malmö FF,0,2,A,0,0,D,7,21,4,7,0,0
SE1,26/07/2021,Varberg,IFK Göteborg,2,0,H,1,0,H,12,8,4,4,0,0
SE1,26/07/2021,Örebro,AIK,1,1,D,1,0,H,14,26,5,9,0,0
SE1,26/07/2021,Östersunds FK,Halmstad,0,1,A,0,0,D,14,22,4,11,0,0
SE1,02/08/2021,AIK,Halmstad,1,0,H,1,0,H,15,13,3,3,0,0
SE1,31/07/2021,Degerfors,Varberg,1,1,D,0,0,D,14,18,2,6,0,0
SE1,01/08/2021,Djurgården,Häcken,2,1,H,0,0,D,28,13,10,4,0,0
SE1,02/08/2021,IFK Göteborg,Norrköping,1,2,A,0,2,A,16,9,6,5,0,0
SE1,02/08/2021,Sirius,Örebro,1,2,A,0,1,A,16,18,9,4,0,0
SE1,01/08/2021,Kalmar,Mjällby,1,0,H,0,0,D,20,9,9,2,0,0
