Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HR,AR
SE1,30/03/2014,Helsingborg,Djurgården,1,1,D,1,1,D,5,0,2,0,0,0
SE1,30/03/2014,Brommapojkarna,Kalmar,1,2,A,0,1,A,13,7,8,4,1,0
SE1,30/03/2014,Mjällby,Gefle,2,2,D,2,2,D,9,14,7,7,0,0
SE1,30/03/2014,Malmö FF,Falkenberg,3,0,H,0,0,D,12,9,8,6,0,0
SE1,30/03/2014,Halmstad,Örebro,1,2,A,1,1,D,11,0,4,0,0,0
SE1,31/03/2014,Åtvidaberg,Elfsborg,2,1,H,1,0,H,8,14,4,6,0,0
SE1,31/03/2014,Häcken,Norrköping,2,0,H,0,0,D,8,14,3,6,0,0
SE1,31/03/2014,AIK,IFK Göteborg,0,2,A,0,1,A,18,9,9,5,1,0
SE1,04/04/2014,Elfsborg,Häcken,3,1,H,0,0,D,17,9,7,0,0,0
SE1,05/04/2014,Falkenberg,Brommapojkarna,1,0,H,1,0,H,10,11,4,4,0,0
SE1,06/04/2014,Djurgården,Halmstad,3,0,H,1,0,H,17,7,5,5,0,0
SE1,06/04/2014,Gefle,AIK,1,2,A,0,0,D,15,19,8,8,0,0
SE1,06/04/2014,Norrköping,Helsingborg,2,0,H,0,0,D,15,13,6,5,0,0
SE1,07/04/2014,Kalmar,Åtvidaberg,2,2,D,1,1,D,8,6,5,3,0,0
SE1,07/04/2014,IFK Göteborg,Malmö FF,0,3,A,0,2,A,13,6,6,0,0,0
SE1,08/04/2014,Örebro,Mjällby,1,0,H,0,0,D,19,6,8,3,0,0
SE1,11/04/2014,Mjällby,Djurgården,0,2,A,0,0,D,14,5,5,3,0,0
SE1,12/04/2014,Åtvidaberg,Falkenberg,2,0,H,0,0,D,16,6,5,0,0,0
SE1,12/04/2014,Malmö FF,Gefle,1,0,H,0,0,D,30,7,10,4,0,0
SE1,13/04/2014,AIK,Örebro,1,1,D,1,0,H,15,8,10,3,0,0
SE1,13/04/2014,Helsingborg,Häcken,4,2,H,1,2,A,13,10,8,4,0,1
SE1,13/04/2014,Halmstad,Norrköping,0,0,D,0,0,D,22,11,11,7,0,0
SE1,14/04/2014,Brommapojkarna,IFK Göteborg,1,1,D,0,1,A,9,9,3,4,0,0
SE1,14/04/2014,Kalmar,Elfsborg,0,0,D,0,0,D,9,7,6,2,0,0
SE1,16/04/2014,Örebro,Malmö FF,1,2,A,0,1,A,10,16,2,6,0,0
SE1,16/04/2014,Norrköping,Mjällby,1,1,D,0,1,A,13,6,3,2,0,1
SE1,16/04/2014,Häcken,Halmstad,3,0,H,2,0,H,14,12,7,4,0,0
SE1,16/04/2014,Djurgården,AIK,2,3,A,0,1,A,11,15,4,8,0,0
SE1,17/04/2014,IFK Göteborg,Åtvidaberg,5,0,H,1,0,H,14,10,7,3,0,0
SE1,17/04/2014,Gefle,Brommapojkarna,3,0,H,2,0,H,7,11,4,7,0,0
SE1,17/04/2014,Falkenberg,Kalmar,1,3,A,0,1,A,10,10,3,3,0,0
SE1,17/04/2014,Elfsborg,Helsingborg,1,0,H,1,0,H,12,7,5,2,0,0
SE1,20/04/2014,Kalmar,IFK Göteborg,1,1,D,0,0,D,9,10,4,6,0,0
SE1,20/04/2014,Halmstad,Helsingborg,2,1,H,1,1,D,12,11,5,5,0,0
SE1,20/04/2014,AIK,Norrköping,1,2,A,0,2,A,20,15,12,8,0,0
SE1,20/04/2014,Mjällby,Häcken,1,4,A,0,3,A,10,6,4,4,0,0
SE1,21/04/2014,Falkenberg,Elfsborg,2,3,A,2,1,H,10,11,4,5,0,0
SE1,21/04/2014,Åtvidaberg,Gefle,2,2,D,1,1,D,18,5,8,3,0,0
SE1,21/04/2014,Malmö FF,Djurgården,2,2,D,1,1,D,14,10,7,4,0,1
SE1,21/04/2014,Brommapojkarna,Örebro,2,2,D,0,1,A,23,16,12,10,0,0
SE1,25/04/2014,Örebro,Åtvidaberg,3,2,H,3,0,H,11,11,3,3,0,0
SE1,25/04/2014,IFK Göteborg,Falkenberg,1,0,H,0,0,D,16,12,7,4,0,0
SE1,27/04/2014,Helsingborg,Mjällby,3,1,H,0,0,D,13,11,9,4,0,0
SE1,27/04/2014,Djurgården,Brommapojkarna,3,2,H,2,0,H,19,12,9,7,0,0
SE1,27/04/2014,Häcken,AIK,2,2,D,0,1,A,11,9,6,5,0,0
SE1,28/04/2014,Elfsborg,Halmstad,4,1,H,2,1,H,20,4,8,3,0,0
SE1,28/04/2014,Gefle,Kalmar,0,2,A,0,2,A,20,16,7,8,0,0
SE1,28/04/2014,Norrköping,Malmö FF,1,2,A,0,0,D,13,11,7,5,0,0
SE1,03/05/2014,Mjällby,Halmstad,2,1,H,1,0,H,6,8,4,6,0,0
SE1,03/05/2014,Brommapojkarna,Norrköping,3,0,H,1,0,H,10,9,6,5,0,0
SE1,04/05/2014,Åtvidaberg,Djurgården,1,1,D,1,1,D,9,8,2,5,0,0
SE1,04/05/2014,Kalmar,Örebro,2,0,H,1,0,H,10,15,4,9,0,0
SE1,04/05/2014,IFK Göteborg,Elfsborg,0,0,D,0,0,D,11,9,5,5,0,1
SE1,05/05/2014,AIK,Helsingborg,2,1,H,1,0,H,27,4,12,0,0,1
SE1,07/05/2014,Häcken,Brommapojkarna,3,1,H,1,1,D,19,8,8,4,0,0
SE1,07/05/2014,Elfsborg,Mjällby,3,1,H,0,1,A,17,4,7,2,0,0
SE1,07/05/2014,Djurgården,Kalmar,0,0,D,0,0,D,20,11,5,6,1,0
SE1,07/05/2014,Norrköping,Åtvidaberg,2,1,H,1,1,D,7,17,3,8,0,0
SE1,08/05/2014,Halmstad,AIK,2,2,D,0,0,D,15,11,7,4,0,0
SE1,08/05/2014,Örebro,Falkenberg,0,0,D,0,0,D,11,9,5,6,0,0
SE1,08/05/2014,Gefle,IFK Göteborg,1,1,D,1,0,H,10,22,6,12,0,0
SE1,08/05/2014,Helsingborg,Malmö FF,0,1,A,0,1,A,12,15,6,8,0,0
SE1,10/05/2014,Kalmar,Norrköping,2,0,H,0,0,D,11,15,3,7,0,0
SE1,11/05/2014,AIK,Mjällby,2,1,H,1,1,D,24,5,11,3,0,0
SE1,11/05/2014,Gefle,Elfsborg,0,1,A,0,0,D,10,9,7,5,0,0
SE1,11/05/2014,IFK Göteborg,Örebro,2,1,H,1,1,D,15,10,9,5,0,0
SE1,12/05/2014,Åtvidaberg,Häcken,1,0,H,0,0,D,7,14,5,3,0,0
SE1,12/05/2014,Malmö FF,Halmstad,3,1,H,1,0,H,7,13,3,8,0,0
SE1,12/05/2014,Brommapojkarna,Helsingborg,0,1,A,0,0,D,14,9,7,6,1,0
SE1,15/05/2014,Norrköping,Falkenberg,0,3,A,0,2,A,11,5,6,2,0,0
SE1,15/05/2014,Brommapojkarna,Mjällby,0,1,A,0,0,D,18,4,9,0,0,0
SE1,15/05/2014,AIK,Elfsborg,2,1,H,1,0,H,12,15,4,9,0,0
SE1,19/05/2014,Örebro,Gefle,2,2,D,0,1,A,22,4,4,2,0,0
SE1,19/05/2014,Halmstad,Brommapojkarna,3,0,H,2,0,H,10,10,6,5,0,0
SE1,20/05/2014,Häcken,Kalmar,4,1,H,2,1,H,8,10,3,8,0,0
