Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HR,AR
SE1,15/06/2020,Helsingborg,Varberg,0,3,A,0,1,A,6,16,3,9,0,0
SE1,14/06/2020,IFK Göteborg,Elfsborg,0,1,A,0,1,A,11,11,3,4,1,0
SE1,17/06/2020,Elfsborg,Hammarby,2,2,D,1,0,H,18,17,9,6,0,0
SE1,21/06/2020,Hammarby,AIK,0,2,A,0,0,D,8,14,3,8,0,0
SE1,18/06/2020,Mjällby,Falkenberg,0,1,A,0,1,A,5,13,4,7,0,0
SE1,14/06/2020,Örebro,AIK,0,2,A,0,0,D,11,8,6,5,0,0
SE1,18/06/2020,Östersunds FK,Sirius,0,2,A,0,0,D,9,21,4,6,0,0
SE1,21/06/2020,Falkenberg,Kalmar,0,2,A,0,0,D,12,10,2,3,0,0
SE1,21/06/2020,Malmö FF,Varberg,2,2,D,1,1,D,20,9,4,4,1,0
SE1,18/06/2020,Kalmar,Helsingborg,4,0,H,2,0,H,26,9,11,0,0,0
SE1,22/06/2020,Helsingborg,Elfsborg,0,0,D,0,0,D,6,7,0,3,0,0
SE1,22/06/2020,Sirius,Häcken,2,2,D,1,2,A,14,12,5,5,0,0
SE1,21/06/2020,Örebro,Östersunds FK,0,0,D,0,0,D,10,17,3,4,0,0
SE1,15/06/2020,Falkenberg,Häcken,1,1,D,1,1,D,12,10,5,7,0,0
SE1,14/06/2020,Sirius,Djurgården,0,2,A,0,1,A,14,8,4,4,0,0
SE1,17/06/2020,AIK,Norrköping,1,4,A,0,4,A,13,12,3,7,0,0
SE1,18/06/2020,Varberg,IFK Göteborg,1,2,A,1,1,D,10,10,4,5,0,0
SE1,22/06/2020,IFK Göteborg,Mjällby,2,2,D,0,1,A,20,7,6,5,0,0
SE1,21/06/2020,Norrköping,Djurgården,3,0,H,2,0,H,16,14,9,2,0,0
SE1,14/06/2020,Norrköping,Kalmar,2,1,H,1,1,D,15,5,11,2,0,0
SE1,18/06/2020,Häcken,Malmö FF,1,1,D,0,1,A,18,10,7,4,0,0
SE1,14/06/2020,Hammarby,Östersunds FK,2,0,H,1,0,H,15,6,7,3,0,0
SE1,17/06/2020,Djurgården,Örebro,1,2,A,1,1,D,15,18,7,8,0,0
SE1,15/06/2020,Malmö FF,Mjällby,2,0,H,0,0,D,14,7,6,4,0,0
SE1,28/06/2020,Sirius,IFK Göteborg,2,2,D,1,1,D,14,12,7,6,0,0
SE1,28/06/2020,Djurgården,Kalmar,5,0,H,4,0,H,14,12,7,3,0,1
SE1,28/06/2020,Mjällby,Hammarby,2,1,H,0,1,A,19,4,4,2,0,1
SE1,28/06/2020,Elfsborg,Örebro,1,1,D,0,1,A,19,7,7,3,1,0
SE1,28/06/2020,AIK,Malmö FF,2,2,D,1,0,H,9,12,3,3,0,0
SE1,29/06/2020,Häcken,Helsingborg,1,0,H,0,0,D,22,12,6,3,0,0
SE1,29/06/2020,Varberg,Falkenberg,3,1,H,2,0,H,8,13,5,7,0,0
SE1,01/07/2020,Norrköping,Elfsborg,1,1,D,0,1,A,21,11,5,4,0,0
SE1,01/07/2020,Kalmar,Östersunds FK,1,2,A,1,0,H,23,12,8,5,0,0
SE1,01/07/2020,Malmö FF,Djurgården,1,0,H,1,0,H,15,7,4,2,0,0
SE1,02/07/2020,Hammarby,Varberg,1,0,H,1,0,H,16,8,6,2,0,0
SE1,02/07/2020,IFK Göteborg,AIK,1,0,H,0,0,D,7,8,2,5,0,0
SE1,02/07/2020,Falkenberg,Sirius,1,2,A,1,0,H,14,7,6,4,0,0
SE1,02/07/2020,Örebro,Häcken,0,0,D,0,0,D,13,14,7,3,0,0
SE1,02/07/2020,Helsingborg,Mjällby,0,1,A,0,0,D,18,19,5,7,0,0
SE1,27/06/2020,Östersunds FK,Norrköping,2,4,A,1,1,D,7,26,5,14,0,0
SE1,05/07/2020,Elfsborg,Malmö FF,1,0,H,1,0,H,13,12,3,3,0,0
SE1,05/07/2020,AIK,Falkenberg,1,1,D,0,0,D,9,10,3,3,0,0
SE1,05/07/2020,Sirius,Örebro,2,1,H,0,1,A,18,10,3,4,0,0
SE1,05/07/2020,Häcken,Hammarby,3,0,H,1,0,H,15,17,6,5,0,0
SE1,06/07/2020,Norrköping,IFK Göteborg,3,1,H,1,0,H,14,13,6,5,0,0
SE1,06/07/2020,Djurgården,Helsingborg,2,2,D,2,1,H,11,14,3,5,0,0
SE1,06/07/2020,Östersunds FK,Mjällby,0,1,A,0,0,D,10,16,4,7,0,0
SE1,06/07/2020,Varberg,Kalmar,1,0,H,0,0,D,12,15,5,8,0,0
SE1,11/07/2020,Hammarby,Sirius,0,0,D,0,0,D,8,9,3,2,0,0
SE1,12/07/2020,IFK Göteborg,Djurgården,1,2,A,0,2,A,7,18,6,7,1,0
SE1,13/07/2020,Kalmar,Elfsborg,1,2,A,1,0,H,12,14,4,5,0,0
SE1,11/07/2020,Falkenberg,Östersunds FK,0,1,A,0,0,D,14,9,4,4,1,0
SE1,12/07/2020,Örebro,Varberg,1,0,H,0,0,D,13,10,4,3,0,0
SE1,12/07/2020,Helsingborg,AIK,2,0,H,0,0,D,15,14,4,5,0,0
SE1,13/07/2020,Malmö FF,Norrköping,1,1,D,1,0,H,8,9,4,3,0,0
SE1,12/07/2020,Mjällby,Häcken,3,1,H,1,0,H,13,9,6,0,0,0
SE1,16/07/2020,Häcken,Elfsborg,6,0,H,2,0,H,20,18,14,3,0,1
SE1,16/07/2020,Norrköping,Örebro,2,0,H,0,0,D,21,10,9,4,0,0
SE1,15/07/2020,IFK Göteborg,Helsingborg,1,1,D,1,0,H,15,11,3,4,0,0
SE1,15/07/2020,Djurgården,Falkenberg,1,0,H,0,0,D,29,7,11,2,0,1
SE1,16/07/2020,Kalmar,Hammarby,1,2,A,1,1,D,7,23,3,4,1,0
SE1,15/07/2020,AIK,Sirius,1,0,H,0,0,D,17,6,8,2,0,0
SE1,16/07/2020,Östersunds FK,Malmö FF,1,2,A,0,1,A,9,18,3,3,0,0
SE1,16/07/2020,Varberg,Mjällby,1,0,H,0,0,D,11,11,6,2,0,0
SE1,19/07/2020,Sirius,Norrköping,4,2,H,1,1,D,23,16,11,10,0,0
SE1,20/07/2020,Hammarby,IFK Göteborg,1,1,D,0,0,D,11,11,5,6,0,0
SE1,19/07/2020,Elfsborg,Djurgården,1,0,H,0,0,D,10,12,4,0,0,0
SE1,19/07/2020,Falkenberg,Helsingborg,2,2,D,1,0,H,16,25,4,6,0,0
SE1,20/07/2020,Örebro,Mjällby,3,1,H,1,1,D,16,11,7,2,0,0
SE1,19/07/2020,Östersunds FK,Häcken,2,2,D,0,0,D,9,18,3,12,0,0
SE1,19/07/2020,Malmö FF,Kalmar,2,1,H,0,1,A,22,3,8,2,0,0
SE1,19/07/2020,Varberg,AIK,2,2,D,1,1,D,10,7,4,3,0,0
SE1,22/07/2020,Häcken,AIK,4,0,H,2,0,H,15,10,7,2,0,0
SE1,22/07/2020,Norrköping,Varberg,2,0,H,1,0,H,14,9,9,4,0,0
SE1,23/07/2020,IFK Göteborg,Falkenberg,2,2,D,1,0,H,23,19,7,8,0,0
SE1,22/07/2020,Djurgården,Östersunds FK,0,0,D,0,0,D,22,11,9,4,0,0
SE1,23/07/2020,Kalmar,Sirius,1,1,D,0,0,D,20,10,5,6,0,0
SE1,23/07/2020,Helsingborg,Örebro,1,1,D,0,1,A,24,10,4,2,0,0
SE1,23/07/2020,Malmö FF,Hammarby,3,0,H,2,0,H,18,10,8,2,0,0
SE1,23/07/2020,Mjällby,Elfsborg,0,5,A,0,4,A,14,14,3,9,0,0
SE1,26/07/2020,Sirius,Malmö FF,2,5,A,1,0,H,11,12,7,5,0,0
SE1,27/07/2020,Hammarby,Örebro,3,0,H,1,0,H,20,7,7,5,0,0
SE1,26/07/2020,Elfsborg,Varberg,3,3,D,1,1,D,9,15,5,7,0,0
SE1,26/07/2020,Häcken,IFK Göteborg,0,0,D,0,0,D,21,11,9,4,1,0
SE1,26/07/2020,Falkenberg,Norrköping,3,3,D,2,0,H,15,19,6,7,1,0
SE1,26/07/2020,AIK,Djurgården,0,1,A,0,0,D,11,15,5,3,0,0
SE1,27/07/2020,Östersunds FK,Helsingborg,0,0,D,0,0,D,8,15,2,0,0,0
SE1,27/07/2020,Mjällby,Kalmar,2,2,D,1,0,H,11,13,4,4,0,0
SE1,03/08/2020,Elfsborg,Sirius,3,3,D,1,3,A,20,22,8,10,0,0
SE1,03/08/2020,Norrköping,Mjällby,1,1,D,0,0,D,19,17,5,4,0,0
SE1,02/08/2020,IFK Göteborg,Malmö FF,0,3,A,0,2,A,9,13,2,5,0,0
SE1,01/08/2020,Djurgården,Häcken,3,1,H,2,1,H,26,9,8,3,0,0
SE1,02/08/2020,Kalmar,AIK,0,0,D,0,0,D,22,9,5,3,0,0
SE1,01/08/2020,Örebro,Falkenberg,1,2,A,0,0,D,18,16,7,6,0,0
