Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HR,AR
SE1,02/04/2016,Malmö FF,Norrköping,3,1,H,1,1,D,13,9,7,2,0,0
SE1,02/04/2016,Kalmar,Jönköpings Södra,0,1,A,0,1,A,10,9,2,6,0,0
SE1,03/04/2016,Häcken,Elfsborg,2,1,H,1,0,H,10,20,6,13,1,0
SE1,03/04/2016,Gefle,Helsingborg,1,1,D,0,1,A,6,12,3,6,0,0
SE1,03/04/2016,Falkenberg,IFK Göteborg,0,2,A,0,1,A,10,8,3,4,0,0
SE1,03/04/2016,Örebro,Djurgården,0,2,A,0,1,A,12,23,5,10,0,0
SE1,04/04/2016,Hammarby,Östersunds FK,1,1,D,1,1,D,14,13,5,7,0,0
SE1,06/04/2016,Jönköpings Södra,Malmö FF,3,2,H,1,1,D,4,8,2,6,1,0
SE1,06/04/2016,Norrköping,Kalmar,4,1,H,1,0,H,10,14,7,7,0,0
SE1,06/04/2016,IFK Göteborg,Häcken,1,0,H,1,0,H,5,14,4,7,0,0
SE1,07/04/2016,Östersunds FK,AIK,0,2,A,0,1,A,8,11,2,4,0,0
SE1,07/04/2016,Helsingborg,Örebro,1,3,A,1,0,H,18,16,11,7,0,0
SE1,07/04/2016,Elfsborg,Hammarby,4,1,H,1,0,H,6,11,2,3,0,0
SE1,07/04/2016,Djurgården,Falkenberg,5,0,H,2,0,H,15,8,7,4,0,0
SE1,09/04/2016,Häcken,Norrköping,1,2,A,1,0,H,7,11,3,7,0,0
SE1,10/04/2016,Hammarby,Helsingborg,5,1,H,2,1,H,13,9,3,3,0,0
SE1,10/04/2016,Gefle,Djurgården,1,2,A,0,0,D,9,11,3,3,0,0
SE1,10/04/2016,Kalmar,Elfsborg,3,2,H,3,0,H,14,6,8,4,0,0
SE1,10/04/2016,Falkenberg,Östersunds FK,1,2,A,0,2,A,8,4,4,2,0,0
SE1,11/04/2016,AIK,IFK Göteborg,3,3,D,1,1,D,19,4,10,4,0,0
SE1,11/04/2016,Malmö FF,GIF Sundsvall,1,2,A,1,1,D,29,5,15,0,0,0
SE1,11/04/2016,Örebro,Jönköpings Södra,2,1,H,1,0,H,14,7,5,2,0,0
SE1,15/04/2016,Östersunds FK,Häcken,2,1,H,1,1,D,15,5,8,4,0,0
SE1,16/04/2016,Helsingborg,Falkenberg,3,1,H,0,1,A,16,8,7,3,0,0
SE1,17/04/2016,Norrköping,AIK,4,1,H,1,0,H,22,15,10,5,0,0
SE1,17/04/2016,IFK Göteborg,Kalmar,1,1,D,0,1,A,15,8,7,3,0,1
SE1,18/04/2016,Elfsborg,Malmö FF,0,1,A,0,0,D,8,11,4,7,0,0
SE1,18/04/2016,GIF Sundsvall,Örebro,3,1,H,2,1,H,10,18,5,6,0,0
SE1,19/04/2016,Djurgården,Hammarby,1,3,A,1,2,A,11,7,2,2,0,0
SE1,22/04/2016,Falkenberg,Norrköping,2,1,H,1,0,H,13,11,8,6,1,0
SE1,23/04/2016,Hammarby,Jönköpings Södra,1,1,D,0,0,D,16,5,5,3,0,0
SE1,23/04/2016,Gefle,Östersunds FK,0,0,D,0,0,D,3,12,2,4,0,0
SE1,24/04/2016,Malmö FF,Djurgården,1,0,H,0,0,D,11,10,6,6,0,0
SE1,24/04/2016,Häcken,GIF Sundsvall,0,1,A,0,1,A,18,8,7,4,0,0
SE1,24/04/2016,Örebro,IFK Göteborg,3,2,H,1,1,D,7,11,5,5,0,0
SE1,25/04/2016,AIK,Elfsborg,2,1,H,2,1,H,9,14,3,6,0,0
SE1,25/04/2016,Kalmar,Helsingborg,2,3,A,2,2,D,14,8,5,3,0,0
SE1,26/04/2016,Norrköping,Hammarby,3,1,H,1,1,D,16,13,10,8,0,1
SE1,27/04/2016,Östersunds FK,Örebro,2,4,A,1,1,D,13,7,5,0,0,0
SE1,27/04/2016,Jönköpings Södra,Falkenberg,1,1,D,0,0,D,12,9,6,4,0,0
SE1,27/04/2016,IFK Göteborg,Malmö FF,0,0,D,0,0,D,5,11,2,3,0,0
SE1,28/04/2016,GIF Sundsvall,Kalmar,1,1,D,1,0,H,6,14,3,7,0,0
SE1,28/04/2016,Häcken,Gefle,6,1,H,2,1,H,13,8,9,2,0,0
SE1,28/04/2016,Helsingborg,AIK,2,1,H,1,1,D,5,16,2,9,0,0
SE1,28/04/2016,Elfsborg,Djurgården,3,0,H,2,0,H,11,13,3,4,0,0
SE1,01/05/2016,Falkenberg,Elfsborg,1,2,A,1,1,D,10,15,4,5,1,0
SE1,01/05/2016,Hammarby,GIF Sundsvall,1,1,D,0,0,D,21,19,12,10,0,0
SE1,01/05/2016,Malmö FF,Häcken,3,0,H,2,0,H,13,8,3,6,1,0
SE1,02/05/2016,Norrköping,Helsingborg,3,0,H,3,0,H,14,10,10,3,0,0
SE1,02/05/2016,AIK,Jönköpings Södra,0,0,D,0,0,D,13,9,7,4,0,1
SE1,02/05/2016,Gefle,IFK Göteborg,2,6,A,2,1,H,7,12,3,5,0,0
SE1,02/05/2016,Djurgården,Östersunds FK,3,0,H,2,0,H,11,17,6,7,0,0
SE1,07/05/2016,Östersunds FK,Kalmar,1,0,H,1,0,H,10,17,5,8,0,0
SE1,07/05/2016,Elfsborg,Gefle,2,0,H,1,0,H,6,5,3,3,0,0
SE1,08/05/2016,Jönköpings Södra,Norrköping,0,2,A,0,1,A,8,16,4,8,1,0
SE1,08/05/2016,Helsingborg,Malmö FF,2,1,H,1,0,H,10,20,5,8,0,0
SE1,08/05/2016,Häcken,AIK,2,3,A,1,2,A,11,17,3,5,0,0
SE1,09/05/2016,Örebro,Hammarby,3,2,H,2,2,D,7,14,5,7,0,0
SE1,09/05/2016,GIF Sundsvall,Falkenberg,2,1,H,2,0,H,13,7,6,5,0,0
SE1,09/05/2016,IFK Göteborg,Djurgården,2,1,H,0,0,D,9,9,3,2,0,0
SE1,13/05/2016,Jönköpings Södra,Helsingborg,1,1,D,0,1,A,17,9,8,6,0,0
SE1,14/05/2016,Malmö FF,Gefle,3,0,H,0,0,D,10,10,4,8,0,0
SE1,14/05/2016,Kalmar,Hammarby,1,1,D,1,0,H,17,12,9,5,0,0
SE1,15/05/2016,Norrköping,GIF Sundsvall,3,1,H,1,0,H,17,9,8,4,0,0
SE1,15/05/2016,Örebro,Elfsborg,1,0,H,0,0,D,18,8,7,5,0,1
SE1,15/05/2016,Östersunds FK,IFK Göteborg,2,0,H,0,0,D,8,8,4,3,0,1
SE1,15/05/2016,Falkenberg,Häcken,1,4,A,1,2,A,7,4,2,3,0,0
SE1,16/05/2016,AIK,Djurgården,2,0,H,1,0,H,8,18,5,9,0,0
SE1,18/05/2016,Hammarby,Malmö FF,2,3,A,1,2,A,16,10,5,3,0,0
SE1,18/05/2016,GIF Sundsvall,Elfsborg,1,3,A,1,0,H,16,12,11,6,0,0
SE1,18/05/2016,Häcken,Jönköpings Södra,3,1,H,2,0,H,9,10,3,4,0,0
SE1,18/05/2016,Helsingborg,Östersunds FK,1,1,D,0,1,A,10,7,7,3,0,0
SE1,19/05/2016,IFK Göteborg,Norrköping,1,1,D,0,0,D,14,9,7,5,0,0
SE1,19/05/2016,Gefle,Örebro,0,4,A,0,1,A,9,7,3,6,0,0
SE1,19/05/2016,Djurgården,Kalmar,0,3,A,0,1,A,15,10,9,5,0,0
SE1,20/05/2016,Falkenberg,AIK,2,3,A,1,2,A,18,9,10,3,0,0
SE1,21/05/2016,GIF Sundsvall,Östersunds FK,5,0,H,1,0,H,9,14,7,8,0,0
SE1,22/05/2016,Kalmar,Häcken,1,1,D,0,0,D,19,9,12,6,0,0
SE1,22/05/2016,Örebro,Norrköping,2,2,D,1,2,A,8,9,4,5,0,0
SE1,22/05/2016,Elfsborg,Jönköpings Södra,3,3,D,1,0,H,13,11,5,5,1,0
SE1,22/05/2016,Djurgården,Helsingborg,3,0,H,1,0,H,7,9,3,4,0,0
SE1,23/05/2016,Gefle,AIK,0,1,A,0,0,D,13,14,0,7,0,0
SE1,23/05/2016,IFK Göteborg,Hammarby,2,1,H,1,0,H,17,9,9,5,0,0
SE1,23/05/2016,Malmö FF,Falkenberg,2,0,H,2,0,H,12,10,4,5,0,0
SE1,28/05/2016,Östersunds FK,Malmö FF,1,4,A,0,2,A,12,6,4,3,0,0
SE1,28/05/2016,Jönköpings Södra,GIF Sundsvall,1,1,D,0,1,A,8,6,4,4,0,0
SE1,28/05/2016,AIK,Örebro,0,0,D,0,0,D,19,10,12,4,0,0
SE1,29/05/2016,Hammarby,Gefle,2,1,H,2,0,H,12,3,5,3,1,0
SE1,29/05/2016,Helsingborg,IFK Göteborg,1,3,A,0,1,A,13,8,4,8,0,0
SE1,29/05/2016,Falkenberg,Kalmar,1,2,A,1,1,D,7,13,5,6,0,0
SE1,29/05/2016,Norrköping,Elfsborg,0,0,D,0,0,D,8,11,3,5,0,0
SE1,29/05/2016,Häcken,Djurgården,3,1,H,2,1,H,12,8,5,5,0,0
SE1,09/07/2016,Djurgården,Norrköping,0,1,A,0,0,D,15,8,7,5,0,0
SE1,09/07/2016,Häcken,Hammarby,4,2,H,2,1,H,5,14,3,9,0,0
SE1,09/07/2016,Gefle,Falkenberg,1,2,A,1,0,H,16,8,10,3,0,0
SE1,10/07/2016,IFK Göteborg,GIF Sundsvall,4,1,H,2,1,H,15,13,7,5,0,0
SE1,10/07/2016,Östersunds FK,Jönköpings Södra,1,0,H,0,0,D,13,3,7,3,0,0
